|NombreProceso|NombreGrupo|Fecha|total_ejecucionesFecha|total_mipsFecha
1717|(SINCO)PSINCO/WRLIQPORTA ON EXF|COMPRAS|2024-09-11|11|0.006272191441743837
1718|(SINCO)PSINCO/DRCAMFAC ON EXF|CXP|2024-09-11|10|0.0022165387093856523
1719|WFL/OPCON/COPIA/SALIDA/CRCARPREMA|PRECIOS|2024-09-11|75|0.00012955342173449167
1720|WFL/OPCON/CRCHQCESSU|ROTAR|2024-09-11|1|1.5961407195214581e-06
1721|(SINCO)VPSINCO/COMSDBINTERFACE|SINCO|2024-09-11|2|0.0
1722|WFL/OPCON/COPIA/ENTRADA/CRCEEXECAR/NOC|OPERACION|2024-09-11|1|2.2690235718687393e-06
1723|WFL/OPCON/COPIA/SALIDA/CRECECRE|OPERACION|2024-09-11|1|1.5335469658147343e-06
1724|(SINCO)PSINCO/WRPMCARSUM ON EXF|UNISYS_UNASSIGNED|2024-09-11|69|0.01096071396939228
1725|(SINCO)PSINCO/CRANULAPED ON EXF|PEDIDOS|2024-09-11|1|0.041661307076505526
1726|(SINCO)PSINCO/SREJEREPO ON EXF|OPERACION|2024-09-11|2|0.008149957107630279
1727|(SINCO)PSINCO/IRAJUSINVF ON EXF|INVENTARIOS|2024-09-11|1|0.0002843164777743664
1728|(SINCO)PSINCO/CRPLAMACDE ON EXF|UNISYS_UNASSIGNED|2024-09-11|10|0.002364604233778907
1729|WFL/OPCON/COPIA/DUMMY/WRBAJAPEDI/PTE|PEDIDOS|2024-09-11|6|9.76462557824892e-06
1730|WFL/OPCON/COPIA/FINAL/PEDIDOS|OPERACION|2024-09-11|1|7.354766060540053e-07
1731|*SMA/COMM|MONITOREO|2024-09-11|2|0.040974684895219646
1732|(SINCO)PSINCO/DRINFDESMA ON EXF|UNISYS_UNASSIGNED|2024-09-11|2|0.00021903119265825338
1733|(SINCO)PSINCO/DBILIBRARY ON EXF|SINCO|2024-09-11|2|0.0
1734|WFL/OPCON/WRCARGANNS|OPERACION|2024-09-11|15|2.2455509142287183e-05
1735|WFL/OPCON/COPIA/ENTRADA/CRGENDILIR|PEDIDOS|2024-09-11|17|4.215689312147851e-05
1736|WFL/OPCON/COPIA/SNDMV/SALIDA/INTERFASES/ROTAR/TRIGGER|OPERACION|2024-09-11|1|1.8308672959216726e-06
1737|WFL/OPCON/COPIA/ENTRADA/RESPALDO/CRCEPECAR|OPERACION|2024-09-11|2|4.0842424293637315e-06
1738|(SINCO)PSINCO/CRSOLINDUS ON EXF|COBROS|2024-09-11|724|0.9139453093336359
1739|WFL/OPCON/CRDESPLLOG|OPERACION|2024-09-11|85|0.00012839543729091735
1740|*SYSTEM/MDPF/ASSISTANT|UNISYS_SW1|2024-09-11|2|0.00023835701411520485
1741|(SINCO)PSINCO/DRLISNLOSG ON EXF|UNISYS_UNASSIGNED|2024-09-11|2|3.401970513960442e-05
1742|(SINCO)OBJECT/PSINCO/OPCON/COBOL/INDEXA/WRAVIRECLI ON EXF|COMPRAS|2024-09-11|66|0.0004993416701953895
