|NombreProceso|NombreGrupo|Fecha|total_ejecucionesFecha|total_mipsFecha
0|WFL/OPCON/COPIA/SALIDA/CRMASPLUEV/CON|OPERACION|2024-09-10|46|0.00010838108454319232
1|WFL/OPCON/COPIA/SALIDA/RESPALDO/CRCONVEMIG|CONVENIOS|2024-09-10|1|1.5335469658147343e-06
2|WFL/OPCON/COPIA/ENTRADA/RESPALDO/DRCEDEFIP|OPERACION|2024-09-10|1|6.196781616965661e-06
3|WFL/OPCON/COPIA/SALIDA/RESPALDO/DRPLUDEVOL|OPERACION|2024-09-10|1|4.616289335870884e-06
4|(SINCO)PSINCO/WRVIACUMPL ON EXF|UNISYS_UNASSIGNED|2024-09-10|1|0.00037672050668391746
5|WFL/OPCON/CRMODNIVIN|OPERACION|2024-09-10|1|1.283171950987839e-06
6|(SINCO)PSINCO/IRDOCIVAJU ON EXF|INVENTARIOS|2024-09-10|328|0.05811800299636297
7|(SINCO)PSINCO/IRADIDEVDI ON EXF|UNISYS_UNASSIGNED|2024-09-10|1|0.009151410221622573
8|WFL/OPCON/CRCONVEMIG|CONVENIOS|2024-09-10|1|1.345765704694563e-06
9|WFL/OPCON/COPIA/DUMPALL/CRCOSREAUT|OPERACION|2024-09-10|743|0.001478996509459324
10|WFL/OPCON/PROCESA/WRVIACUMPL|OPERACION|2024-09-10|1|1.5804922810947773e-06
11|WFL/OPCON/WRPMCARDPO|OPERACION|2024-09-10|72|0.00010808376421308545
12|WFL/OPCON/COPIA/SALIDA/RESPALDO/WRINFVTALI|OPERACION|2024-09-10|1|2.003000118615163e-06
13|WFL/OPCON/EJECUTA/GARBAGE/ONLINE/IEINVFPDE|OPERACION|2024-09-10|1|1.29882038941452e-06
14|WFL/OPCON/COPIA/SNDMV/SALIDA/WRSCEENVIM|OPERACION|2024-09-10|135|0.0002682298830717382
15|WFL/OPCON/CRBORRAPRE|OPERACION|2024-09-10|2|3.646086153416664e-06
16|WFL/OPCON/DRCEDEFIP|OPERACION|2024-09-10|1|1.5491954042414154e-06
17|SYSTEM/DSS/ROUTER|RED|2024-09-10|2|8.418859873554356e-06
18|(SINCO)PSINCO/CRGENLISMO ON EXF|DESPACHOS|2024-09-10|1|0.00015524815763110183
19|WFL/OPCON/COPIA/SALIDA/RESPALDO/WREXTPREF|OPERACION|2024-09-10|1|2.832367355229254e-06
20|WFL/OPCON/CRACTCIREW|OPERACION|2024-09-10|1|1.236226635707796e-06
21|(SINCO)PSINCO/CRCOSREAUT ON EXF|UNISYS_UNASSIGNED|2024-09-10|742|0.24621040201777222
22|WFL/OPCON/COPIA/SALIDA/RESPALDO/CRCONSODIA/CORTES|PEDIDOS|2024-09-10|2|1.6305672840601564e-05
23|WFL/OPCON/WRCARDESMQ|OPERACION|2024-09-10|23|3.278347850389662e-05
24|WFL/OPCON/CRSOLICVMI|MERCANCIACONSIG|2024-09-10|3|4.819719035417737e-06
