|NombreProceso|NombreGrupo|Fecha|total_ejecucionesFecha|total_mipsFecha
0|SOCKET/ROUTER/WORKER/|RED|2024-09-12|8|0.0
1|(SINCO)OBJECT/PSINCO/OPCON/COBOL/INDEXA/WRAVIRECLI ON EXF|COMPRAS|2024-09-12|70|0.0005290267578908032
2|(SINCO)OBJECT/COBOL//EXTRACTA/NITS/SOLI-PROV ON EXF|UNISYS_UNASSIGNED|2024-09-12|192|0.0011197240116211562
3|WFL/OPCON/COPIA/SALIDA/RESPALDO/DRMARLIPRD|OPERACION|2024-09-12|88|0.0019674625149481715
4|*SYSTEM/CCF/PCM/PIPES|SINCO|2024-09-12|2|0.0
5|WFL/OPCON/COPIA/SALIDA/WRBAJIEVRT|INVENTARIOS|2024-09-12|1|1.6743829116548632e-06
6|WFL/OPCON/DRSINEDEVO|DESPACHOS|2024-09-12|1|3.7399767839767496e-06
7|WFL/OPCON/COPIA/SALIDA/RESPALDO/CRCOSCOBES|OPERACION|2024-09-12|645|0.0021636313390650474
8|MCPSERVER/WORKER/-|UNISYS_SW1|2024-09-12|12|0.035525820392857184
9|WFL/OPCON/CRSOLINDUS|COBROS|2024-09-12|724|0.0011462794116312348
10|(SINCO)PSINCO/WRCARWMSMQ ON EXF|UNISYS_UNASSIGNED|2024-09-12|139|0.0658144370615112
11|WFL/OPCON/COPIA/ENTRADA/IRINIDEPLA/DIFUSIONES|DIFUSIONES|2024-09-12|3|7.918109843900568e-06
12|(SINCO)OBJECT/PSINCO/COBOL/GESTION/IEINVT ON EXF|INVENTARIOS|2024-09-12|1|0.4309169327683622
13|WFL/OPCON/CRMAESIVA|OPERACION|2024-09-12|1|1.3144688278412009e-06
14|WFL/OPCON/COPIA/SALIDA/RESPALDO/WRCARGANNS|OPERACION|2024-09-12|15|3.589751775080612e-05
15|(SINCO)PSINCO/WRENVIVECO ON EXF|VENTAS|2024-09-12|23|0.004375819782568077
16|WFL/OPCON/CRGENLISAL|OPERACION|2024-09-12|3|5.383062818778251e-06
17|WFL/OPCON/COPIA/SALIDA/RESPALDO/CRACTIRECO|PRECIOS|2024-09-12|13|2.8824423581946334e-05
18|(SINCO)PSINCO/CRCONPREMO ON EXF|UNISYS_UNASSIGNED|2024-09-12|5|0.001840506733992508
19|WFL/OPCON/COPIA/SALIDA/RESPALDO/WREXTFNCS|OPERACION|2024-09-12|1|2.957554862642702e-06
20|(SINCO)PSINCO/WRCPTESAT ON EXF|CXP|2024-09-12|1|0.000502064498481632
21|(SINCO)PSINCO/CRREPCAART ON EXF|ARTICULOS|2024-09-12|68|0.022633071973114732
22|WFL/OPCON/COPIA/SALIDA/WRENVIDOMI|DOMICILIOS|2024-09-12|7|1.2972555455718519e-05
23|(SINCO)PSINCO/WRLISNOPRO ON EXF|CXP|2024-09-12|4|0.000572153854194736
24|(SINCO)PSINCO/CRGEPLAEVE ON EXF|UNISYS_UNASSIGNED|2024-09-12|78|0.012338386840038842
25|WFL/OPCON/LEER/ARCHIVOS/CRDESPLLOG/RETIRADOS|OPERACION|2024-09-12|84|0.00011875599922008186
26|(SINCO)PSINCO/DBILIBRARY ON EXF|SINCO|2024-09-12|2|0.0
27|(SINCO)PSINCO/CRCAMBTIPN ON EXF|COMPRAS|2024-09-12|1|0.00014656327430429388
28|WFL/OPCON/COPIA/ENTRADA/RESPALDO/WRPMCARDPC|OPERACION|2024-09-12|72|0.0001483315478465088
29|(SINCO)PSINCO/WRPMCARMAR ON EXF|UNISYS_UNASSIGNED|2024-09-12|69|0.011548078105737752
30|WFL/OPCON/BORRA/ARCHIVO/FACELE/WRCARFACEL|OPERACION|2024-09-12|1|2.2377266950153774e-05
31|(SINCO)PSINCO/WRDIDPORTA ON EXF|COMPRAS|2024-09-12|11|0.006461834867036784
32|WFL/OPCON/COPIA/SALIDA/RESPALDO/WREXRCV|ROTAR|2024-09-12|38|8.204476267108826e-05
33|(SINCO)PSINCO/IRIRKAR ON EXF|INVENTARIOS|2024-09-12|5|0.018360453641970614
34|(SINCO)PSINCO/IRTOMAFVMI ON EXF|INVENTARIOS|2024-09-12|1|0.0001659516895149516
35|WFL/OPCON/COPIA/RESPALDO/DRVALAJUSI|OPERACION|2024-09-12|2|4.021648675657007e-06
